epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1313.43,0.52042,0.31827,0.88466,0.87498,0.89471,0.94586,0.77998,0.76255,0.34487,0.95513,0.000115168,0.000115168,0.000115168
66,1334.65,0.51824,0.31437,0.88774,0.95412,0.88242,0.95946,0.78359,0.80344,0.35384,0.97603,0.000113155,0.000113155,0.000113155
67,1355.85,0.52205,0.31046,0.88758,0.92874,0.88064,0.95749,0.77739,0.81202,0.35857,0.9818,0.000111142,0.000111142,0.000111142
68,1376.48,0.51485,0.30692,0.88648,0.88058,0.93945,0.96142,0.79679,0.76039,0.34454,0.95456,0.000109129,0.000109129,0.000109129
69,1396.91,0.49804,0.3051,0.88375,0.88961,0.96023,0.96031,0.80439,0.7371,0.33037,0.95234,0.000107116,0.000107116,0.000107116
70,1416.68,0.49946,0.30239,0.88069,0.89913,0.93231,0.95928,0.78803,0.77727,0.34824,0.96811,0.000105103,0.000105103,0.000105103
71,1437.67,0.49732,0.30628,0.88087,0.90366,0.93638,0.95727,0.79086,0.75431,0.33381,0.96402,0.00010309,0.00010309,0.00010309
72,1457.39,0.49912,0.30528,0.8793,0.89194,0.93821,0.96147,0.79679,0.75919,0.33464,0.96421,0.000101077,0.000101077,0.000101077
73,1478.39,0.48772,0.3005,0.8784,0.88638,0.93821,0.96303,0.80306,0.74252,0.33897,0.95492,9.9064e-05,9.9064e-05,9.9064e-05
74,1497.99,0.48404,0.29811,0.87384,0.96934,0.87803,0.96026,0.79382,0.74991,0.34302,0.96119,9.7051e-05,9.7051e-05,9.7051e-05
75,1517.72,0.47947,0.29439,0.87147,0.89478,0.93993,0.9602,0.7913,0.75281,0.33671,0.95636,9.5038e-05,9.5038e-05,9.5038e-05
76,1538.69,0.47817,0.29153,0.87758,0.89182,0.93658,0.96789,0.79387,0.76247,0.33284,0.97023,9.3025e-05,9.3025e-05,9.3025e-05
77,1559.9,0.47431,0.28831,0.86995,0.90101,0.92793,0.9659,0.80654,0.73877,0.32965,0.95957,9.1012e-05,9.1012e-05,9.1012e-05
